,Node,Degree,Frequency,UniqueConnections,FrequencyProportion,UniqueConnectionProportion
81,Belize,122,16,85,0.0003879728419010669,0.44502617801047123
82,Papua New Guinea,116,22,78,0.000533462657613967,0.4083769633507853
83,Saint Lucia,101,10,63,0.00024248302618816683,0.3298429319371728
84,Jamaica,171,22,85,0.000533462657613967,0.44502617801047123
85,Grenada,142,13,76,0.0003152279340446169,0.39790575916230364
86,Saint Vincent and the Grenadines,95,7,82,0.00016973811833171677,0.4293193717277487
87,Croatia,678,117,122,0.002837051406401552,0.6387434554973822
88,Slovenia,855,88,111,0.002133850630455868,0.581151832460733
89,Romania,1054,249,146,0.006037827352085354,0.7643979057591623
90,North Macedonia,419,75,101,0.0018186226964112511,0.5287958115183246
91,Ireland,881,258,161,0.0062560620756547045,0.8429319371727748
92,Spain,3126,1021,179,0.024757516973811833,0.93717277486911
93,Serbia,846,200,163,0.004849660523763337,0.8534031413612565
94,Cyprus,584,174,148,0.0042192046556741025,0.774869109947644
95,Malaysia,967,258,136,0.0062560620756547045,0.7120418848167539
96,Tunisia,417,107,144,0.002594568380213385,0.7539267015706806
97,Chile,811,142,156,0.003443258971871969,0.8167539267015707
98,Malta,370,69,123,0.0016731328806983512,0.643979057591623
99,Brazil,2191,662,162,0.016052376333656644,0.8481675392670157
100,Ethiopia,549,149,160,0.003612997090203686,0.837696335078534
101,Sudan,884,210,173,0.005092143549951503,0.9057591623036649
102,Kenya,450,112,149,0.0027158098933074684,0.7801047120418848
103,Monaco,388,41,129,0.000994180407371484,0.675392670157068
104,Somalia,652,130,140,0.0031522793404461687,0.7329842931937173
105,Morocco,613,133,146,0.003225024248302619,0.7643979057591623
106,Indonesia,951,431,168,0.01045101842870999,0.8795811518324608
107,Argentina,1022,276,147,0.006692531522793405,0.7696335078534031
108,Mexico,1411,701,176,0.016998060135790496,0.9214659685863874
109,Marshall Islands,221,25,114,0.0006062075654704171,0.5968586387434555
110,Palestine,690,414,131,0.010038797284190108,0.6858638743455497
111,Vietnam,958,324,158,0.007856450048496605,0.8272251308900523
112,Colombia,967,340,147,0.008244422890397672,0.7696335078534031
113,Samoa,198,22,115,0.000533462657613967,0.6020942408376964
114,Panama,519,104,134,0.002521823472356935,0.7015706806282722
115,Barbados,143,27,82,0.0006547041707080504,0.4293193717277487
116,Lebanon,711,310,149,0.007516973811833172,0.7801047120418848
117,Sierra Leone,200,26,113,0.0006304558680892338,0.5916230366492147
118,Philippines,989,284,160,0.006886517943743938,0.837696335078534
119,Bangladesh,596,212,148,0.005140640155189137,0.774869109947644
120,Congo,574,136,156,0.003297769156159069,0.8167539267015707
121,Nicaragua,537,76,129,0.0018428709990300678,0.675392670157068
122,Nauru,221,16,109,0.0003879728419010669,0.5706806282722513
123,Mauritania,366,35,140,0.0008486905916585839,0.7329842931937173
124,Haiti,316,20,139,0.00048496605237633366,0.7277486910994765
125,Peru,870,164,145,0.003976721629485936,0.7591623036649214
126,Vatican,352,47,127,0.001139670223084384,0.6649214659685864
127,Yemen,1149,421,164,0.010208535402521823,0.8586387434554974
128,Tanzania,465,78,140,0.0018913676042677013,0.7329842931937173
129,Singapore,1235,526,148,0.012754607177497575,0.774869109947644
130,Bhutan,155,17,101,0.00041222114451988363,0.5287958115183246
131,Eritrea,403,45,120,0.0010911736178467507,0.6282722513089005
132,Botswana,277,37,124,0.0008971871968962172,0.6492146596858639
133,Gambia,144,17,95,0.00041222114451988363,0.4973821989528796
134,South Sudan,574,56,144,0.0013579049466537342,0.7539267015706806
135,Zimbabwe,610,143,141,0.0034675072744907855,0.7382198952879581
136,Angola,290,44,125,0.001066925315227934,0.6544502617801047
137,Uganda,367,54,127,0.0013094083414161009,0.6649214659685864
138,Ghana,211,46,112,0.0011154219204655674,0.5863874345549738
139,Jordan,487,193,125,0.00467992240543162,0.6544502617801047
140,Oman,522,125,123,0.003031037827352085,0.643979057591623
141,Senegal,318,31,131,0.0007516973811833172,0.6858638743455497
142,Maldives,136,18,95,0.0004364694471387003,0.4973821989528796
143,Rwanda,468,54,132,0.0013094083414161009,0.6910994764397905
144,Thailand,757,290,154,0.007032007759456838,0.806282722513089
145,Cape Verde,90,9,78,0.00021823472356935015,0.4083769633507853
146,Central African Republic,383,44,119,0.001066925315227934,0.6230366492146597
147,Democratic Republic of the Congo,262,56,127,0.0013579049466537342,0.6649214659685864
148,Bolivia,577,106,127,0.0025703200775945684,0.6649214659685864
149,Uruguay,309,41,101,0.000994180407371484,0.5287958115183246
150,Guatemala,437,110,111,0.002667313288069835,0.581151832460733
151,Kiribati,144,13,91,0.0003152279340446169,0.47643979057591623
152,Costa Rica,326,47,113,0.001139670223084384,0.5916230366492147
153,Fiji,109,18,79,0.0004364694471387003,0.41361256544502617
154,Dominican Republic,372,62,149,0.0015033947623666344,0.7801047120418848
155,Andorra,128,10,65,0.00024248302618816683,0.3403141361256545
156,Micronesia,222,18,107,0.0004364694471387003,0.5602094240837696
157,San Marino,260,15,109,0.00036372453928225026,0.5706806282722513
158,Mauritius,121,16,81,0.0003879728419010669,0.42408376963350786
159,Kuwait,97,16,59,0.0003879728419010669,0.3089005235602094
160,Liberia,345,35,141,0.0008486905916585839,0.7382198952879581
161,Saint Kitts and Nevis,50,7,30,0.00016973811833171677,0.15706806282722513
162,Gabon,94,9,65,0.00021823472356935015,0.3403141361256545
163,Togo,224,19,124,0.00046071774975751695,0.6492146596858639
164,Namibia,167,23,87,0.0005577109602327837,0.45549738219895286
165,Mozambique,394,47,127,0.001139670223084384,0.6649214659685864
166,Malawi,241,27,110,0.0006547041707080504,0.5759162303664922
167,Paraguay,534,62,131,0.0015033947623666344,0.6858638743455497
168,Mongolia,115,12,64,0.0002909796314258002,0.33507853403141363
169,Cameroon,309,40,133,0.0009699321047526673,0.6963350785340314
170,Brunei,182,28,63,0.0006789524733268671,0.3298429319371728
171,Laos,227,27,104,0.0006547041707080504,0.5445026178010471
172,Lesotho,289,25,110,0.0006062075654704171,0.5759162303664922
173,Eswatini,132,9,68,0.00021823472356935015,0.35602094240837695
174,Zambia,164,31,100,0.0007516973811833172,0.5235602094240838
175,Guyana,67,10,60,0.00024248302618816683,0.31413612565445026
176,Sao Tome and Principe,58,5,53,0.00012124151309408342,0.2774869109947644
177,Comoros,166,14,97,0.00033947623666343355,0.5078534031413613
178,Solomon Islands,111,8,80,0.00019398642095053346,0.418848167539267
179,Honduras,221,47,87,0.001139670223084384,0.45549738219895286
180,Bahamas,21,4,19,9.699321047526673e-05,0.09947643979057591
181,Burundi,431,27,144,0.0006547041707080504,0.7539267015706806
182,Equatorial Guinea,188,17,109,0.00041222114451988363,0.5706806282722513
183,Guinea-Bissau,136,7,88,0.00016973811833171677,0.4607329842931937
184,Vanuatu,225,18,121,0.0004364694471387003,0.6335078534031413
185,Djibouti,233,33,127,0.0008001939864209505,0.6649214659685864
186,Timor-Leste,26,3,25,7.274490785645004e-05,0.13089005235602094
187,Palau,161,12,95,0.0002909796314258002,0.4973821989528796
188,Burkina Faso,93,3,71,7.274490785645004e-05,0.3717277486910995
189,Suriname,33,4,30,9.699321047526673e-05,0.15706806282722513
190,Tonga,6,2,6,4.8496605237633365e-05,0.031413612565445025
191,El Salvador,4,1,4,2.4248302618816682e-05,0.020942408376963352
